Name Of Player,Country,Years
 , ,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BJ Watling, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,103,441,528,528,528,573,573,573,573
C White, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,187,187,187,333,337,489,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568
RM Haq, (SCOT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,376,378,388,411,452,452,477,509,566,566,566,566,566
KS More, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,131,186,311,384,446,551,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563,563
Mominul Haque, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,205,539,543,543,543,557,557
Aamer Malik, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,536,536,536,536,536,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556
RJ Peterson, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,91,91,135,147,147,147,153,231,312,545,556,556,556,556,556,556
R Mutumbami, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,531,552,552,552,552
GS Blewett, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,283,474,474,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551,551
JN Mohammed, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,6,529,551,551
SL Malinga, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,44,73,92,124,210,302,371,424,442,475,475,496,506,550
TJ Friend, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,134,395,532,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548
T Duffin, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,546,546,546,546,546,546,546,546,546,546,546,546,546
Mohammad Wasim, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,385,499,499,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543
AU Rashid, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,231,327,403,514,543
AP Kuiper, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,276,276,414,478,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539
P Willey, (ENG),0,0,0,0,0,0,7,7,310,375,475,475,475,475,487,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538,538
MC Snedden, (NZ),0,0,0,0,0,0,0,0,0,21,32,36,223,224,238,267,437,509,516,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535
Athar Ali Khan, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,190,190,190,190,190,211,211,470,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532
IS Billcliff, (CAN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,147,266,511,537,588,588,588,588,588,588,588,588,588,588,588
SCJ Broad, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,156,284,338,372,392,415,430,470,510,529,529,529,529
NN Odhiambo, (KENYA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,164,198,382,425,481,521,521,528,528,528,528,528,528
Naved-ul-Hasan, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,53,210,322,359,359,448,524,524,524,524,524,524,524,524,524,524
B Kumar, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,94,156,205,207,339,440,523
TP Ura, (PNG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,56,338,575,590
Amjad Ali, (UAE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,392,520,520,520,520,520
LK Germon, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,475,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
Mudassar Bukhari, (NL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,146,207,283,490,490,512,516,516,516,516,516,516
KM Dabengwa, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,199,336,433,514,514,514,514,514,514,514,514,514,514
AK Markram, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,407,514
PK Amre, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,374,494,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513
TAM Siriwardana, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,281,513,513,513
KD Walters, (AUS),41,58,58,77,218,218,230,230,276,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513
JG Bracewell, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,41,73,120,246,308,469,469,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512
DP Viljoen, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,125,153,355,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512
JM Brearley, (ENG),0,0,0,0,0,0,148,206,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510
WD Parnell, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,116,182,283,344,373,414,508,508,508
AO Suji, (KENYA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,86,116,186,188,267,307,317,317,317,472,501,506,506,506,506,506,506,506,506,506,506,506,506
AN Petersen, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,124,342,377,377,437,504,504,504,504,504,504,504
Taufeeq Umar, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,180,426,444,447,447,447,447,447,447,504,504,504,504,504,504,504,504,504
PR Reiffel, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,155,238,302,424,493,493,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503
Dawlat Zadran, (AFG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,36,128,241,290,388,500,502
JE Emburey, (ENG),0,0,0,0,0,0,0,0,0,26,31,31,31,31,31,73,399,461,471,471,471,471,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501
Ghulam Shabber, (UAE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,494,620
GP Swann, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,146,227,295,455,468,500,500,500,500,500,500,500
JJ Tucker, (BMUDA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,505,505,508,508,508,508,508,508,508,508,508,508,508
DJ Callaghan, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,217,438,478,478,478,478,478,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493
Naimur Rahman, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,58,134,280,372,441,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488
JWM Dalrymple, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,487,487,487,487,487,487,487,487,487,487,487,487,487
AC Cummins, (CAN/WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,71,185,385,459,459,459,459,459,459,459,459,459,459,459,459,486,486,486,486,486,486,486,486,486,486,486,486,486
R McLaren, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,37,38,410,485,485,485,485,485,485
MRJ Veletta, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,467,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484
CS Baugh, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,68,68,186,186,223,223,223,418,482,482,482,482,482,482,482,482
AA Mulla, (CAN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,401,439,482,482,482,482,482,482,482,482,482,482,482
AR Nurse, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,239,368,482
SR Patel, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,116,116,306,407,482,482,482,482,482,482,482
DJ Reekers, (NL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,387,436,481,481,481,481,481,481,481,481,481,481,481
TN de Grooth, (NL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,203,254,326,387,472,472,480,480,480,480,480,480,480
DA Minors, (BMUDA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,478,478,478,478,478,478,478,478,478,478,478,478,478
BG Rogers, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,47,178,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478
S Lee, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,61,61,61,288,452,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
Karim Sadiq, (AFG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,255,401,458,458,470,470,475,475,475,475
CA Best, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,82,203,400,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473
AJ Bichel, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,99,99,99,99,230,434,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
JH Davey, (SCOT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,234,234,254,298,428,452,471,471,471
HG Munsey, (SCOT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,381,470
H Patel, (CAN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,163,468,468,468,468,468,468,468,468,468
ALF de Mel, (SL),0,0,0,0,0,0,0,0,0,0,0,86,216,248,348,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
AO Malhotra, (INDIA),0,0,0,0,0,0,0,0,0,0,0,143,332,332,332,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457
Umar Gul, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,34,57,86,194,244,291,412,422,451,451,457,457,457,457
C Sharma, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,42,51,218,232,260,440,440,440,455,455,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456
GEF Barnett, (CAN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,220,227,332,455,455,455,455,455,455,455,455,455,455
R Gunasekera, (CAN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,134,401,401,401,455,455,455,455,455,455
RR Hendricks, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,455
MD Dai, (PNG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,111,406,489,489
Minhajul Abedin, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,89,89,149,149,149,149,149,196,196,240,313,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453
Mehrab Hossain, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,327,327,351,413,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449
C de Grandhomme, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,65,214,392,443
MA Leask, (SCOT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,179,220,301,435,443
TE Blain, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,246,246,246,246,246,432,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442
SAR Silva, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,30,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441
MK Pandey, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,261,432,440,440
AL Phehlukwayo, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,138,296,440
GR Viswanath, (INDIA),0,0,0,36,75,131,131,148,254,403,430,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
JP Maher, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,249,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438
AH Omarshah, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,106,106,106,106,106,311,390,390,390,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437
PL Taylor, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,154,257,365,420,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437
DN Chudasama, (KENYA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,353,431,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434
CJ McDermott, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,150,191,324,324,324,349,370,384,420,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432
CJO Smith, (SCOT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,245,374,432,432,432,432,432,432,432,432,432,432,432
Shafiqullah, (AFG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,254,256,419,430,430
AT Carey, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,429
DR Pringle, (ENG),0,0,0,0,0,0,0,0,0,0,0,34,45,61,78,183,203,284,339,369,370,419,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
MN van Wyk, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,195,195,195,195,331,331,331,331,425,425,425,425,425
AK Sharma, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,306,343,343,343,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424
RC Russell, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,37,235,261,261,261,261,261,381,383,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
AS Hansra, (CAN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,419,419,419,421,421,421,421,421,421
S Prasanna, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,101,180,193,370,405,405,421
Mohammad Mithun, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,241,420
SMA Priyanjan, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,402,420,420,420,420,420
AR Adams, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,205,333,342,409,419,419,419,419,419,419,419,419,419,419,419,419,419,419
SR Waters, (KENYA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,261,299,419,419,419,419,419,419,419,419,419
CO Browne, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,155,172,172,172,187,187,187,187,222,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
Farhad Reza, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,295,390,390,390,412,412,412,412,412,412,412,412,412
Usman Ghani, (AFG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,408,408,411,411,411
GB Brent, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,35,71,158,174,184,202,202,251,364,408,408,408,408,408,408,408,408,408,408,408,408
CB Lambert, (USA/WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,132,132,132,132,132,132,132,368,368,368,368,368,368,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407
Mosaddek Hossain, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,288,341,407
RW Price, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39,90,90,90,93,120,274,312,366,406,406,406,406,406,406,406,406
IR Bishop, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,73,148,187,223,223,270,339,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
EA Brandes, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,94,177,182,187,220,250,330,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404
ID Blackwell, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,255,291,344,403,403,403,403,403,403,403,403,403,403,403,403,403,403
F Mutizwa, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,263,403,403,403,403,403,403,403,403,403
HE van der Dussen, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403
JP Bray, (IRE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,401,401,401,401,401,401,401,401,401,401,401,401,401
RG de Alwis, (SL),0,0,0,0,0,0,0,0,0,0,0,0,198,216,216,283,283,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401
S Madan Lal, (INDIA),0,0,0,5,25,46,46,46,46,46,52,106,259,281,299,362,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401
TBM de Leede, (NL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,145,243,243,243,312,400,400,400,400,400,400,400,400,400,400,400,400,400
WS Jayantha, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Mushtaq Ahmed, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82,98,182,200,203,263,309,332,343,343,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399
Sohail Tanvir, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,161,182,182,268,283,347,399,399,399,399,399,399
DR Chumney, (CAN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,264,397,397,397,397,397,397,397,397,397,397,397,397,397
Mohammad Naveed, (UAE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,125,162,255,373,431
IA Karim, (KENYA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,265,265,396,396,396,396,396,396
AB Barath, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,311,394,394,394,394,394,394,394,394
