Name Of Player,Country,Years
 , ,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DL Haynes, (WI),0,0,0,0,0,0,0,148,499,617,1042,1042,1562,2375,3607,4045,4654,5546,6338,6621,7194,7805,8380,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648,8648
MS Atapattu, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,43,43,43,43,127,1006,1750,2537,3615,4563,5964,6567,7296,7934,8448,8529,8529,8529,8529,8529,8529,8529,8529,8529,8529,8529,8529,8529
ME Waugh, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,321,477,994,1890,2583,3244,4293,4862,5502,6970,7565,8374,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
V Sehwag, (Asia/ICC/INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,459,1780,2460,3131,4148,4756,5231,6124,6934,7380,8025,8273,8273,8273,8273,8273,8273,8273,8273
HH Gibbs, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,244,292,1097,1673,2519,3829,4522,4920,5646,6342,7222,7635,8060,8094,8094,8094,8094,8094,8094,8094,8094,8094,8094
Shahid Afridi, (Asia/ICC/PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,1155,1604,2069,2673,3128,3871,3887,4125,4765,4880,5239,5517,5830,6431,6893,7075,7516,7870,8064,8064,8064,8064,8064
SP Fleming, (ICC/NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,862,1570,2165,2799,3131,3708,4165,5081,5618,6539,6978,7368,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037,8037
LRPL Taylor, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,852,1504,1948,2624,3192,3415,3992,4587,5715,5834,6802,7441,8034
RG Sharma, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,593,695,1199,1810,1978,3174,3752,4567,5131,6424,7454,8010
MJ Clarke, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,942,1896,2625,3606,4077,4945,5722,6646,7302,7605,7786,8017,8017,8017,8017,8017
HM Amla, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,848,1906,2538,3216,4054,4946,6008,6519,7381,7696,7923
SR Waugh, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,1095,1598,1898,2209,2355,2755,3057,3607,3852,4731,5273,5686,6320,6897,7382,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569,7569
Shoaib Malik, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,145,514,1134,2029,2639,3277,3984,4665,5075,5188,5223,5316,5490,5490,6097,6410,6926,7284,7526
A Ranatunga, (SL),0,0,0,0,0,0,0,0,0,0,0,68,213,351,634,1105,1357,1697,2081,2548,2651,3011,3583,4423,4965,5482,6297,7093,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513,7513
Javed Miandad, (PAK),0,0,0,0,52,99,230,256,302,349,639,1050,1337,1812,2533,3375,4316,5125,5551,5721,5862,6885,7394,7394,7394,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448
Younis Khan, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,650,1823,2508,2908,3181,3796,4413,5278,5698,5913,6657,6898,7014,7177,7249,7249,7249,7249,7249
Saleem Malik, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,27,176,427,557,1356,1932,2826,3429,3614,4319,4489,5268,5464,6368,6906,7077,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193,7193
NJ Astle, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,974,1681,2512,3081,3926,4661,5327,5540,6030,6595,7044,7090,7090,7090,7090,7090,7090,7090,7090,7090,7090,7090,7090,7090
EJG Morgan, (ENG/IRE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,549,600,1107,1798,2241,2605,3165,3725,4692,5020,5801,6557,7034
GC Smith, (Afr/SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,1343,1995,2979,3540,4619,5111,5613,5941,6360,6698,6989,6989,6989,6989,6989,6989,6989
WU Tharanga, (Asia/SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,1390,1995,2133,2656,3363,4189,4941,5228,5339,5407,5621,6632,6936,6951
MG Bevan, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,821,1469,2203,2973,3922,4803,5384,6028,6634,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912
G Kirsten, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,751,983,2425,3385,3579,4044,5511,6149,6612,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798,6798
A Flower, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,644,921,1032,1502,2170,2942,3794,4737,5797,6454,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786,6786
IVA Richards, (WI),0,0,0,0,112,328,348,357,1059,1211,1750,1750,2480,3175,4406,4797,5784,6146,6442,6501,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721,6721
Tamim Iqbal, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,1262,1864,2640,3115,3462,3702,3971,4713,5120,5766,6450,6636
GW Flower, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,353,505,624,1162,1939,2867,3651,4299,5415,5809,6277,6536,6536,6536,6536,6536,6536,6571,6571,6571,6571,6571,6571,6571,6571,6571,6571
Ijaz Ahmed, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,389,906,1327,1594,1677,1750,1750,2235,2391,4033,4776,5575,6162,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564
AR Border, (AUS),0,0,0,0,0,0,0,0,200,689,1136,1219,1647,2085,2915,3510,4152,4589,5157,5451,5840,6066,6293,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524
MJ Guptill, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,1101,1761,2161,2655,2963,4592,5190,5574,5997,6461
Mohammad Hafeez, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,419,543,798,874,874,874,1244,2319,2892,4096,4456,5238,5404,5959,6153,6361
RB Richardson, (WI),0,0,0,0,0,0,0,0,0,0,0,0,46,428,1129,1680,2295,2934,3530,3871,4684,5138,5517,5641,6012,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248,6248
BRM Taylor, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,684,1491,1790,1929,2519,3242,3985,4112,4414,4825,5258,5258,5258,6156,6156
ML Hayden, (AUS/ICC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,286,286,286,286,286,286,477,788,1958,2703,3649,4131,4234,5835,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133,6133
BB McCullum, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,373,617,1029,1259,2019,2723,3387,3711,4197,4613,5086,5216,6030,6149,6149,6149,6149
DM Jones, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,141,481,801,1738,2633,3420,4370,4772,5427,5599,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068,6068
DC Boon, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,39,303,1071,1727,2455,2675,3153,3633,4329,4905,5693,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964,5964
