Name Of Player,Bio Link,ODI Stats link
Adnan Akmal,http://stats.espncricinfo.com/ci/content/player/39038.html,http://stats.espncricinfo.com/ci/engine/player/39038.html?class=2;template=results;type=batting;view=series
Adnan Mufti,http://stats.espncricinfo.com/ci/content/player/281653.html,http://stats.espncricinfo.com/ci/engine/player/281653.html?class=2;template=results;type=batting;view=series
Afsar Zazai,http://stats.espncricinfo.com/ci/content/player/420402.html,http://stats.espncricinfo.com/ci/engine/player/420402.html?class=2;template=results;type=batting;view=series
Aftab Ahmed,http://stats.espncricinfo.com/ci/content/player/56266.html,http://stats.espncricinfo.com/ci/engine/player/56266.html?class=2;template=results;type=batting;view=series
Aftab Alam,http://stats.espncricinfo.com/ci/content/player/440963.html,http://stats.espncricinfo.com/ci/engine/player/440963.html?class=2;template=results;type=batting;view=series
Afzaal Haider,http://stats.espncricinfo.com/ci/content/player/39121.html,http://stats.espncricinfo.com/ci/engine/player/39121.html?class=2;template=results;type=batting;view=series
RG Aga,http://stats.espncricinfo.com/ci/content/player/24716.html,http://stats.espncricinfo.com/ci/engine/player/24716.html?class=2;template=results;type=batting;view=series
AC Agar,http://stats.espncricinfo.com/ci/content/player/505120.html,http://stats.espncricinfo.com/ci/engine/player/505120.html?class=2;template=results;type=batting;view=series
AB Agarkar,http://stats.espncricinfo.com/ci/content/player/26184.html,http://stats.espncricinfo.com/ci/engine/player/26184.html?class=2;template=results;type=batting;view=series
JP Agnew,http://stats.espncricinfo.com/ci/content/player/8501.html,http://stats.espncricinfo.com/ci/engine/player/8501.html?class=2;template=results;type=batting;view=series
FS Ahangama,http://stats.espncricinfo.com/ci/content/player/48116.html,http://stats.espncricinfo.com/ci/engine/player/48116.html?class=2;template=results;type=batting;view=series
KK Ahmed,http://stats.espncricinfo.com/ci/content/player/942645.html,http://stats.espncricinfo.com/ci/engine/player/942645.html?class=2;template=results;type=batting;view=series
Ahmed Kamal,http://stats.espncricinfo.com/ci/content/player/56238.html,http://stats.espncricinfo.com/ci/engine/player/56238.html?class=2;template=results;type=batting;view=series
Ahmed Raza,http://stats.espncricinfo.com/ci/content/player/245490.html,http://stats.espncricinfo.com/ci/engine/player/245490.html?class=2;template=results;type=batting;view=series
Ahmed Shah,http://stats.espncricinfo.com/ci/content/player/318337.html,http://stats.espncricinfo.com/ci/engine/player/318337.html?class=2;template=results;type=batting;view=series
