Name Of Player,Date Month Year,Runs
Abdul Qadir,18 Dec 1989,0
Abdul Qadir,31 Dec 1989,1
Abdul Qadir,27 Apr 1990,1
Abdul Qadir,13 Nov 1990,1
Abdul Qadir,1 Nov 1993,7
Abdul Razzaq,1 Nov 1996,0
Abdul Razzaq,9 May 1997,8
Abdul Razzaq,3 Apr 1998,89
Abdul Razzaq,12 Sep 1998,4
Abdul Razzaq,24 Mar 1999,4
Abdul Razzaq,16 May 1999,170
Abdul Razzaq,16 Sep 1999,113
Abdul Razzaq,14 Oct 1999,80
Abdul Razzaq,9 Jan 2000,225
Abdul Razzaq,13 Feb 2000,60
Abdul Razzaq,23 Mar 2000,67
Abdul Razzaq,5 Apr 2000,67
Abdul Razzaq,2 Jun 2000,21
Abdul Razzaq,5 Jul 2000,22
Abdul Razzaq,20 Aug 2000,59
Abdul Razzaq,8 Oct 2000,48
Abdul Razzaq,24 Oct 2000,92
Abdul Razzaq,17 Feb 2001,149
Abdul Razzaq,8 Apr 2001,14
Abdul Razzaq,7 Jun 2001,125
Abdul Razzaq,27 Oct 2001,96
Abdul Razzaq,22 Jan 2002,98
Abdul Razzaq,14 Feb 2002,86
Abdul Razzaq,8 Apr 2002,60
Abdul Razzaq,21 Apr 2002,138
Abdul Razzaq,12 Aug 2002,72
Abdul Razzaq,29 Aug 2002,65
Abdul Razzaq,12 Sep 2002,16
Abdul Razzaq,8 Dec 2002,140
Abdul Razzaq,11 Feb 2003,99
Abdul Razzaq,3 Apr 2003,76
Abdul Razzaq,10 May 2003,64
Abdul Razzaq,17 Jun 2003,93
Abdul Razzaq,9 Sep 2003,42
Abdul Razzaq,3 Oct 2003,101
Abdul Razzaq,29 Nov 2003,125
Abdul Razzaq,3 Jan 2004,170
Abdul Razzaq,13 Mar 2004,148
Abdul Razzaq,17 Jul 2004,104
Abdul Razzaq,21 Aug 2004,61
Abdul Razzaq,4 Sep 2004,15
Abdul Razzaq,14 Sep 2004,22
Abdul Razzaq,30 Sep 2004,119
Abdul Razzaq,13 Nov 2004,1
Abdul Razzaq,10 Jan 2005,11
Abdul Razzaq,16 Jan 2005,188
Abdul Razzaq,2 Apr 2005,155
Abdul Razzaq,18 May 2005,60
Abdul Razzaq,17 Aug 2005,38
Abdul Razzaq,10 Dec 2005,68
Abdul Razzaq,6 Feb 2006,107
Abdul Razzaq,17 Mar 2006,96
Abdul Razzaq,18 Apr 2006,1
Abdul Razzaq,27 Jun 2006,49
Abdul Razzaq,30 Aug 2006,96
Abdul Razzaq,17 Oct 2006,49
Abdul Razzaq,7 Dec 2006,57
Abdul Razzaq,4 Feb 2007,46
Abdul Razzaq,18 May 2007,16
Abdul Razzaq,30 Jul 2009,64
Abdul Razzaq,3 Nov 2009,61
Abdul Razzaq,15 Jun 2010,50
Abdul Razzaq,17 Sep 2010,86
Abdul Razzaq,29 Oct 2010,195
Abdul Razzaq,22 Jan 2011,38
Abdul Razzaq,23 Feb 2011,104
Abdul Razzaq,11 Nov 2011,17
Abdul Rehman,16 Jul 2004,1
Abdul Shakoor,16 Nov 2015,44
Abdul Shakoor,30 Aug 2018,10
Abdur Rauf,2 Feb 2008,-
Abdur Rauf,2 Jul 2008,-
Abdur Rauf,12 Nov 2008,-
Abdur Razzak,16 Jul 2004,39
Abdur Razzak,20 Jan 2005,0
Abdur Razzak,20 Feb 2006,-
Abdur Razzak,17 Mar 2006,0
Abdur Razzak,23 Apr 2006,6
Abdur Razzak,29 Jul 2006,31
Abdur Razzak,12 Aug 2006,14
Abdur Razzak,7 Oct 2006,30
Abdur Razzak,30 Nov 2006,5
Abdur Razzak,15 Dec 2006,-
Abdur Razzak,4 Feb 2007,17
Abdur Razzak,25 Feb 2007,-
Abdur Razzak,17 Mar 2007,29
Abdur Razzak,10 May 2007,9
Abdur Razzak,20 Jul 2007,34
Abdur Razzak,26 Dec 2007,28
Abdur Razzak,9 Mar 2008,24
Abdur Razzak,18 Mar 2008,-
Abdur Razzak,8 Apr 2008,52
Abdur Razzak,8 Jun 2008,34
Abdur Razzak,24 Jun 2008,38
Abdur Razzak,30 Aug 2008,27
Abdur Razzak,9 Oct 2008,30
Abdur Razzak,7 Nov 2008,20
Abdur Razzak,26 Jul 2009,17
Abdur Razzak,27 Oct 2009,3
Abdur Razzak,4 Jan 2010,2
Abdur Razzak,28 Feb 2010,19
Abdur Razzak,21 Jun 2010,-
Abdur Razzak,8 Jul 2010,31
Abdur Razzak,15 Jul 2010,9
Abdur Razzak,20 Jul 2010,-
Abdur Razzak,5 Oct 2010,10
Abdur Razzak,1 Dec 2010,5
Abdur Razzak,19 Feb 2011,15
Abdur Razzak,9 Apr 2011,-
Abdur Razzak,12 Aug 2011,35
Abdur Razzak,13 Oct 2011,33
Abdur Razzak,1 Dec 2011,4
Abdur Razzak,11 Mar 2012,7
Abdur Razzak,30 Nov 2012,6
Abdur Razzak,23 Mar 2013,6
Abdur Razzak,3 May 2013,73
Abdur Razzak,29 Oct 2013,16
Abdur Razzak,26 Feb 2014,0
Abdur Razzak,15 Jun 2014,16
Abdur Razzak,22 Aug 2014,5
Abdur Rehman,7 Dec 2006,7
Abdur Rehman,11 Feb 2007,0
Abdur Rehman,22 May 2007,10
Abdur Rehman,20 Oct 2007,40
Abdur Rehman,5 Nov 2007,2
Abdur Rehman,21 Jun 2010,1
Abdur Rehman,5 Nov 2010,9
Abdur Rehman,22 Jan 2011,0
Abdur Rehman,23 Feb 2011,6
Abdur Rehman,6 Dec 2011,4
Abdur Rehman,15 Feb 2012,13
Abdur Rehman,31 Aug 2012,12
Abdur Rehman,26 May 2013,7
Abdur Rehman,29 Aug 2013,0
Abdur Rehman,30 Nov 2013,22
Abdur Rehman,27 Dec 2013,1
Abdur Rehman,4 Mar 2014,8
Abid Ali,29 Mar 2019,112
Abid Ali,19 May 2019,5
S Abid Ali,13 Jul 1974,23
S Abid Ali,7 Jun 1975,70
S Abrahams,4 Nov 2000,16
Abul Hasan,30 Nov 2012,-
Abul Hasan,23 Mar 2013,3
Abul Hasan,28 Nov 2014,1
Abul Hasan,17 Apr 2015,-
Abul Hasan,25 Jan 2018,7
Abu Hider,20 Sep 2018,1
Abu Hider,26 Oct 2018,-
Abu Jayed,13 May 2019,-
MR Adair,3 May 2019,32
MR Adair,5 May 2019,46
MR Adair,19 May 2019,15
AR Adams,10 Apr 2001,18
AR Adams,29 Jan 2002,37
AR Adams,13 Feb 2002,81
AR Adams,15 Apr 2002,21
AR Adams,21 Apr 2002,48
AR Adams,4 Jan 2003,37
AR Adams,10 Feb 2003,90
AR Adams,19 May 2003,1
AR Adams,3 Jan 2004,5
AR Adams,8 Jul 2004,-
AR Adams,2 Nov 2004,4
AR Adams,24 Aug 2005,6
AR Adams,23 Oct 2005,61
AR Adams,28 Dec 2006,10
CJ Adams,21 May 1998,28
CJ Adams,23 Jan 2000,43
JC Adams,17 Dec 1992,17
JC Adams,19 Feb 1993,17
JC Adams,23 Mar 1993,53
JC Adams,28 Oct 1993,99
JC Adams,9 Nov 1993,89
JC Adams,1 Dec 1993,0
JC Adams,16 Feb 1994,150
JC Adams,17 Oct 1994,53
JC Adams,23 Oct 1994,11
JC Adams,22 Jan 1995,8
JC Adams,8 Mar 1995,131
JC Adams,24 May 1995,33
JC Adams,15 Dec 1995,31
JC Adams,29 Feb 1996,41
JC Adams,26 Mar 1996,108
JC Adams,13 Apr 1996,37
JC Adams,6 Dec 1996,116
JC Adams,26 Apr 1997,44
JC Adams,11 Apr 1999,269
JC Adams,16 May 1999,79
JC Adams,2 Sep 1999,30
JC Adams,12 Sep 1999,25
JC Adams,16 Sep 1999,90
JC Adams,8 Oct 1999,71
JC Adams,13 Oct 1999,74
JC Adams,2 Jan 2000,121
JC Adams,1 Apr 2000,183
JC Adams,6 Jul 2000,48
JC Adams,11 Jan 2001,176
PR Adams,9 Jan 1996,0
PR Adams,29 Feb 1996,10
PR Adams,17 Apr 1996,-
PR Adams,14 Dec 1996,0
PR Adams,2 Feb 1997,-
PR Adams,6 Nov 1997,0
PR Adams,27 Jan 1998,15
PR Adams,28 Sep 1999,-
PR Adams,12 Jul 2000,2
PR Adams,12 May 2001,6
PR Adams,19 Aug 2002,-
PR Adams,14 Apr 2003,-
PR Adams,5 Jul 2003,33
Adeel Raja,16 Sep 2002,7
Adeel Raja,12 Feb 2003,2
Adeel Raja,30 Jan 2007,2
Adeel Raja,18 Mar 2007,8
Adeel Raja,11 Jul 2007,-
Adeel Raja,8 Aug 2008,-
Adeel Raja,15 Jun 2010,-
Adeel Raja,3 Jul 2010,0
Adeel Raja,20 Jul 2010,-
Adeel Raja,16 Aug 2010,9
Adeel Raja,14 Mar 2011,0
Adnan Akmal,8 Sep 2011,51
Adnan Akmal,18 Feb 2012,11
Adnan Mufti,24 Jan 2017,43
Adnan Mufti,2 Mar 2017,36
Adnan Mufti,31 Mar 2017,5
Adnan Mufti,31 Mar 2017,10
Adnan Mufti,11 Jan 2018,98
Adnan Mufti,4 Mar 2018,86
Adnan Mufti,30 Aug 2018,57
Afsar Zazai,28 Nov 2014,139
Afsar Zazai,8 Jan 2015,67
Afsar Zazai,18 Feb 2015,36
Afsar Zazai,9 Jun 2017,22
Aftab Ahmed,12 Sep 2004,21
Aftab Ahmed,2 Nov 2004,16
Aftab Ahmed,23 Dec 2004,106
Aftab Ahmed,20 Jan 2005,179
Aftab Ahmed,16 Jun 2005,99
Aftab Ahmed,31 Aug 2005,21
Aftab Ahmed,20 Feb 2006,53
Aftab Ahmed,17 Mar 2006,154
Aftab Ahmed,23 Apr 2006,31
Aftab Ahmed,29 Jul 2006,126
Aftab Ahmed,12 Aug 2006,57
Aftab Ahmed,7 Oct 2006,95
Aftab Ahmed,30 Nov 2006,150
Aftab Ahmed,15 Dec 2006,118
Aftab Ahmed,4 Feb 2007,148
Aftab Ahmed,25 Feb 2007,40
Aftab Ahmed,17 Mar 2007,128
Aftab Ahmed,10 May 2007,56
Aftab Ahmed,20 Jul 2007,66
Aftab Ahmed,26 Dec 2007,81
Aftab Ahmed,18 Mar 2008,72
Aftab Ahmed,8 Apr 2008,57
Aftab Ahmed,8 Feb 2010,28
Aftab Ahmed,28 Feb 2010,52
Aftab Alam,16 Feb 2010,6
Aftab Alam,10 Jul 2010,-
Aftab Alam,22 Jul 2014,1
Aftab Alam,10 Jan 2015,3
Aftab Alam,18 Feb 2015,14
